,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
21351,22-10-030,ЦЕХ 17,1/269,1979.0,пpecc эkcцehtpиkobый,728-00-00,2022-10-07,н/р,сбой работе тормоза.,"ремонт, регулировка.",2022-10-12,2022-10-07,7.0,10.0,2022.0,14.0,5 days,Д
21352,22-10-031,ЦЕХ 17,1/270,1979.0,пpecc эkcцehtpиkobый,728-00-00,2022-10-07,н/р,сбой работе тормоза.,"ремонт, регулировка.",2022-10-14,2022-10-07,7.0,10.0,2022.0,14.0,7 days,Д
21353,22-10-029,ЦЕХ 15,3-740,2019.0,печь,RVF-524(FV) AvaC(N),2022-10-07,не охл. детали,н/р привод вентилятора камеры охлаждения,вызов специалиста,2022-11-15,2022-10-07,7.0,10.0,2022.0,14.0,39 days,Г
21354,22-10-028,ЦЕХ 16,3/203,1953.0,шaxthaя эл.пeчь цилиhдp,ГАП-155-14,2022-10-07,н/р нагрев верх. контура,обрыв нагрузки,диагностика,2022-10-07,2022-10-07,7.0,10.0,2022.0,14.0,0 days,Г
21355,22-10-032,ЦЕХ 20,5/475,1988.0,эл.эpoзиoh.копиров.прошив.ст-к с пу,4Е-723.01Ф1,2022-10-08,н/р кнопка,не вкл источник,ремонт пусковой кнопки,2022-10-08,2022-10-08,8.0,10.0,2022.0,15.0,0 days,Э
21357,22-10-035,ЦЕХ 28,5-610,2016.0,координатно-шлифовальный станок,"Hauser H45-400, Fanuc",2022-10-10,течь радиатора охл-ния,утечка антифриза,холодная пайка трубок конденсатора,2022-10-11,2022-10-10,10.0,10.0,2022.0,12.0,1 days,Ш
21358,22-10-037,ЦЕХ 23,6/177,1991.0,п/автомат,7А773 ПН,2022-10-10,прыгает стол,люфт в соединении м-ма стола и г/цилиндра,люфт устранен,2022-10-11,2022-10-10,10.0,10.0,2022.0,12.0,1 days,Б
21359,22-10-036,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2022-10-10,наладка датчиков и св-диод индикации,ложный вызов,требуется визит гидравликов (со слов оператора),2022-10-10,2022-10-10,10.0,10.0,2022.0,12.0,0 days,И
21360,22-10-034,ЦЕХ 25,4-619,1948.0,плоскошлифовальный горизонтальный станок,RTR400 CN LODI,2022-10-10,замена монитора,вышел из строя монитор,замена монитора,2022-10-10,2022-10-10,10.0,10.0,2022.0,12.0,0 days,Ш
21361,22-10-038,ЦЕХ 17,1-336,1988.0,пресс пресс однокривошипный простого дей,КД-2128 К,2022-10-10,нет регулировки ползуна,сбой в работе командапарата.,"ремонт, регулировка.",2022-10-20,2022-10-10,10.0,10.0,2022.0,12.0,10 days,Д
21362,22-10-040,ЦЕХ 20,5/523,1987.0,спец.плоско-шлифов. с чпу глубиного шлиф,SLS 221 с ЧПУ,2022-10-10,ош:  смена батарейки,села батарейка,замена батарейки,2022-10-10,2022-10-10,10.0,10.0,2022.0,12.0,0 days,Ш
21363,22-10-033,ЦЕХ 41,5-613,2018.0,станок профильного шлифования для шлифования плоских протяжек,MFP-160.50.65,2022-10-10,ош закрытия крышки изм щупа,неисправен датчик в устройстве изм с-мы,диагностика,2023-04-19,2022-10-10,10.0,10.0,2022.0,12.0,191 days,Ш
21364,22-10-041,ЦЕХ 38,6/237,2000.0,устаhовка вакуумhая плавильhая,УППФ-3МК,2022-10-10,проверка герметичности,проверка выполнена.,проверка выполнена.,2022-10-11,2022-10-10,10.0,10.0,2022.0,12.0,1 days,Г
21365,22-10-039,ЦЕХ 20,5/466,1987.0,эл.эpoзиoh.копиров.прошив.ст-к с пу,4Е-723.01Ф1,2022-10-10,"ст-к зависает, нет прожига",неисправен вентилятор,диагностика,2022-10-13,2022-10-10,10.0,10.0,2022.0,12.0,3 days,Э
21366,22-10-046,ЦЕХ 17,1-336,1988.0,пресс пресс однокривошипный простого дей,КД-2128 К,2022-10-11,аварийная остановка,перевозка оборудования,расстыковали эл шкаф,2022-10-24,2022-10-11,11.0,10.0,2022.0,11.0,13 days,Д
21367,22-10-045,ЦЕХ 9,3-730,2015.0,печь электрическая конвейерная,ELCV-800,2022-10-11,откл от эл питания,неисправность датчика контролоя вращени я маховика,необходима замена датчика,2022-10-13,2022-10-11,11.0,10.0,2022.0,11.0,2 days,Г
21368,22-10-042,ЦЕХ 41,4-347,2010.0,станок пятиосевой шлифовальный заточной,TX7+,2022-10-11,зависает,еденичный сбой,перезагрузка системы,2022-10-12,2022-10-11,11.0,10.0,2022.0,11.0,1 days,И
21369,22-10-044,ЦЕХ 22,1/2470,1998.0,токарно-винторезный станок с чпу,16А20Ф3С39,2022-10-11,не отрабатывает размер по х,выход из строя оси х,демонтаж и разборка оси х,2022-10-21,2022-10-11,11.0,10.0,2022.0,11.0,10 days,Т
21370,22-10-043,ЦЕХ 20,6-650,2021.0,установка ионно-плазменного нанесения покрытий,АПН-250М-3,2022-10-11,ремонт вак насоса,ремонт произведен.,ремонт произведен.,2022-10-13,2022-10-11,11.0,10.0,2022.0,11.0,2 days,У
21371,22-10-047,ЦЕХ 27,6-163,2002.0,холодильная установка,"Q7-4CC-6,2",2022-10-11,спустить фреон,протек отделитель жидкости,диагностика,2023-04-27,2022-10-11,11.0,10.0,2022.0,11.0,198 days,Я
21372,22-10-050,ЦЕХ 27,12-456,2005.0,агрегат выпрямительный те1-100/115т-оухл,ТЕ1-100/115Т,2022-10-12,н/р плата,не вкл,диагностика,2022-10-18,2022-10-12,12.0,10.0,2022.0,10.0,6 days,Э
21373,22-10-051,ЦЕХ 25,4-810,2003.0,моечная машина,MCF-1850/2T,2022-10-12,не вкл,неправильная работа датчика пневмоцелиндра лотка,регулировка датчика,2022-10-18,2022-10-12,12.0,10.0,2022.0,10.0,6 days,Ж
21374,22-10-048,ЦЕХ 22,1/2470,1998.0,токарно-винторезный станок с чпу,16А20Ф3С39,2022-10-12,регулировка швп,выход из строя оси х,демонтаж и разборка оси х,2022-10-21,2022-10-12,12.0,10.0,2022.0,10.0,9 days,Т
21375,22-10-049,ЦЕХ 3,6/197,1985.0,уct.baууk.пл.-зaл.abtom. c пpeд. пoд.фop,УППФ-3МК,2022-10-12,выбивает тпчт,не запускается тпчт,"ремонт тпчт, замена теристоров",2022-10-13,2022-10-12,12.0,10.0,2022.0,10.0,1 days,Г
21376,22-10-053,ЦЕХ 15,3/537,1985.0,эл.пeчь kamep.bakуmh.,FHV90GHS,2022-10-12,н/р блок управления нгревом,,,2024-11-12,2022-10-12,12.0,10.0,2022.0,10.0,762 days,Г
21377,22-10-052,ЦЕХ 41,1/36,1987.0,moлot koboч.пhebmat.,МА4132,2022-10-12,н/р,механические повреждения ответственных деталей.,изготовлнеие новых.,2023-01-24,2022-10-12,12.0,10.0,2022.0,10.0,104 days,К
21378,22-10-057,ЦЕХ 19,8/128,1993.0,зубошлифов.ст-к д/конических шестерен,WNC-30,2022-10-13,неисправность привода шпинделей,вышли из строя ремни шпинделя,"замена ремней, сборка станка",2022-10-14,2022-10-13,13.0,10.0,2022.0,10.0,1 days,Ш
21379,22-10-060,ЦЕХ 43,6/179,1983.0,станок вертикально-протяжной,RASX-25,2022-10-13,н/р датчик хол. установки,сработал датчик высокого давления,спуск фреона,2022-10-14,2022-10-13,13.0,10.0,2022.0,10.0,1 days,Б
21380,22-10-061,ЦЕХ 19,8-150,2005.0,станок зубошлифовальный,P600/800G,2022-10-13,неисправность системы гидравлики,,,2022-10-24,2022-10-13,13.0,10.0,2022.0,10.0,11 days,Ш
21381,22-10-055,ЦЕХ 22,5-771,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2022-10-13,не меняет инструмент,н/р смена инструмента,диагностика,2022-10-18,2022-10-13,13.0,10.0,2022.0,10.0,5 days,Ф
21382,22-10-056,"Филиал ""НИИД""",3/510,1984.0,эл.пeчь bakууm.,"5,5/11,5И2",2022-10-13,ремонт вак. системы,замена электродвигателя вак. насоса.,замена электродвигателя вак. насоса.,2022-10-17,2022-10-13,13.0,10.0,2022.0,10.0,4 days,Г
21383,22-10-059,ЦЕХ 15,3-654,2002.0,эл.печь вакуумная с газ. агрегатом,VDNT,2022-10-13,ремонт вак. системы,проверка работоспособности насоса.,проверка выполнена.,2022-10-20,2022-10-13,13.0,10.0,2022.0,10.0,7 days,Г
21384,22-10-058,ЦЕХ 20,5/466,1987.0,эл.эpoзиoh.копиров.прошив.ст-к с пу,4Е-723.01Ф1,2022-10-13,ош: короткое замыкание,выход из строя силового блока,ремонт силового блока,2022-10-13,2022-10-13,13.0,10.0,2022.0,10.0,0 days,Э
21385,22-10-054,Отдел главного сварщика,3-675,2003.0,электровакуумная печь,ВЕГА-3,2022-10-13,ремонт вак. насоса,ремонт насоса произведен.,ремонт насоса произведен.,2022-10-14,2022-10-13,13.0,10.0,2022.0,10.0,1 days,Г
21386,22-10-065,ЦЕХ 43,5-237,2011.0,вертикально-орабатывающий центр,PICOMAX-95,2022-10-14,залипает клапан,переохлаждение,диагностика,2022-10-14,2022-10-14,14.0,10.0,2022.0,8.0,0 days,А
21387,22-10-062,ЦЕХ 26,5-782,2014.0,обрабатывающий центр,E160A,2022-10-14,заблокирован датчик на голову,попадание стружки,чистка,2022-10-14,2022-10-14,14.0,10.0,2022.0,8.0,0 days,Т
21388,22-10-066,ЦЕХ 25,9/70,1976.0,резьбошлифовальhый ст-к,GSU-315/500,2022-10-14,отключается двигатель,подгарает шлиф. круг,диагностика,2022-12-12,2022-10-14,14.0,10.0,2022.0,8.0,59 days,Ш
21389,22-10-063,ЦЕХ 26,6-195,2013.0,сервоприводной автоматич. трубогиб. станок,SE 50 L/R,2022-10-14,заблокирована ось v1,перегрузка оси v1,перезагрузка системы,2022-10-14,2022-10-14,14.0,10.0,2022.0,8.0,0 days,Д
21390,22-10-064,ЦЕХ 19,8-151,2012.0,станок зубошлифовальный с чпу,G 30,2022-10-14,сбой,"сбой вторичного ист пит u2, нестабильная работа процессора вентилятора","сброс ош, чистка процессора",2022-10-14,2022-10-14,14.0,10.0,2022.0,8.0,0 days,Ш
21391,22-10-067,ЦЕХ 20,5-624,2014.0,электроэрозион. копировально-прошивоч. станок,NX4C,2022-10-15,заглушить с-му фильтрации,нет подачи сож,модернизация и доработка станции фильтрации,2022-10-25,2022-10-15,15.0,10.0,2022.0,10.0,10 days,Э
21393,22-10-072,ЦЕХ 16,7/189,1973.0,tokapho-лoбobой с чпу,DFM-30NCC,2022-10-17,н/р смена инструмента,нет смены инструмента,рег-ка руки смены инструмента,2022-10-25,2022-10-17,17.0,10.0,2022.0,9.0,8 days,Т
21394,22-10-071,ЦЕХ 16,7/181,1973.0,tokapho-лoбobой с чпу,DFM-30NCC,2022-10-17,н/р смена инструмента,нет смены инстр-та,ремонт магазина смены инструмента,2022-10-25,2022-10-17,17.0,10.0,2022.0,9.0,8 days,Т
21395,22-10-078,ЦЕХ 15,3-638,2000.0,вакуумная печь,FRVOQ PC 36*36,2022-10-17,ремонт вак. системы,замена вакуумного уплотнения.,замена вакуумного уплотнения.,2022-10-19,2022-10-17,17.0,10.0,2022.0,9.0,2 days,Г
21396,22-10-076,ЦЕХ 41,4-782,2002.0,ванна промывки п/хромирования,6837-1650,2022-10-17,вышел из строя выпрямитель,н/р реверс,ремонт эл.автоматики,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,Ж
21397,22-10-073,ЦЕХ 23,5-712,2001.0,вертикальный обрабатывающий центр,А-750,2022-10-17,"ош №25000 (ось м,х-1.) ош №207566 (ошибка привода)",н/р линейка,диагностика,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,Ф
21398,22-10-070,ЦЕХ 41,4-65,1982.0,координатно-расточной станок,МР42DR,2022-10-17,сбой работы системы зажима инструментом,выход из строя датчика,ремонт датчика,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,А
21399,22-10-077,ЦЕХ 20,3-658,2002.0,печь вакум. горизонтальная,RVFOQ-4.24 R,2022-10-17,ремонт вак. системы,ремонт вак. насоса рутса.,ремонт вак. насоса рутса.,2022-10-18,2022-10-17,17.0,10.0,2022.0,9.0,1 days,Г
21400,22-10-069,ЦЕХ 20,5/567,1986.0,спец.шлифовальный ст-к с чпу,SLS 221 с ЧПУ,2022-10-17,не выходит в 0,выход из строя концевиков по оси х и оси v,восстановление концевиков,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,Ш
21401,22-10-068,ЦЕХ 22,5-731,2002.0,станок для обработки в центрах с чпу,MASTURN 50 CNC / 800,2022-10-17,не вкл сис. сож,не вкл сож,настройка параметров чпу,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,Т
21402,22-10-075,ЦЕХ 8,5-786,2020.0,токарный обрабатывающий центр с чпу,YH-28+C,2022-10-17,течь масла,течь масла из рев головы,переборка рев головы и замена манжет,2022-12-30,2022-10-17,17.0,10.0,2022.0,9.0,74 days,Т
21403,22-10-074,ЦЕХ 3,6/197,1985.0,уct.baууk.пл.-зaл.abtom. c пpeд. пoд.фop,УППФ-3МК,2022-10-17,выбивает тпчт,выход из строя конденсатора в контуре,замена конденсатора,2022-10-17,2022-10-17,17.0,10.0,2022.0,9.0,0 days,Г
21404,22-10-083,ЦЕХ 8,3-246,2013.0,универсальный круглошлифовальный станок,S 33,2022-10-18,замена гидробочка системы смазки,выход из строя г/станции,диагностика,2022-11-21,2022-10-18,18.0,10.0,2022.0,13.0,34 days,Ш
21405,22-10-080,ЦЕХ 19,5-779,2013.0,5-ти осевой вертикально-обрабатывающий центр,A-6,2022-10-18,неисправность холд. установки,не вкл компрессор,"диагностика, перезапуск станка",2022-10-18,2022-10-18,18.0,10.0,2022.0,13.0,0 days,Ф
21406,22-10-082,ЦЕХ 41,4-782,2002.0,ванна промывки п/хромирования,6837-1650,2022-10-18,вышел из строя выпрямитель,срабатывает защита,ремонт эл автоматики,2022-10-19,2022-10-18,18.0,10.0,2022.0,13.0,1 days,Ж
21407,22-10-084,ЦЕХ 41,4/574,1991.0,плоско-шлифовальhый,JF625E-1,2022-10-18,регулировка скорости шпинделя,"неисправна обмотка возбуждения, нет контакта в разъеме",восстановление контакта,2022-10-19,2022-10-18,18.0,10.0,2022.0,13.0,1 days,Ш
21408,22-10-079,ЦЕХ 41,4-354,2011.0,станок пятиосевой шлифовальный заточной,TX7+,2022-10-18,н/р насос,нет подачи сож,замена насоса,2022-10-25,2022-10-18,18.0,10.0,2022.0,13.0,7 days,И
21409,22-10-081,ЦЕХ 9,7-104,2002.0,центробежный гладкошлифовальный станок,FKS 35.2,2022-10-18,ош№ 8.1,н/р помпа,диагностика,2022-10-24,2022-10-18,18.0,10.0,2022.0,13.0,6 days,Л
21410,22-10-086,ЦЕХ 19,2-114,2002.0,зубодолбнжный ст-к,LFS-382,2022-10-19,неисправность насоса охлаждения,вышли из строя подшипники насоса в системе охлаждения,"ремонт насоса, восстановление работоспособности",2022-10-20,2022-10-19,19.0,10.0,2022.0,9.0,1 days,М
21411,22-10-087,ЦЕХ 9,5-198,2012.0,ленточно-пильный ст-к с чпу,НВМ-370А,2022-10-19,не пилит в цикле,нет оператора,ремонт эл автоматики и обучение оператора,2022-10-19,2022-10-19,19.0,10.0,2022.0,9.0,0 days,В
21412,22-10-091,ЦЕХ 20,5-616,2020.0,профилешлифовальный центр пятиосевой с чпу,MFP-050.65.65,2022-10-19,ош: захват манипулятора не разжат,сбой программы,диагнотика,2022-10-20,2022-10-19,19.0,10.0,2022.0,9.0,1 days,Ш
21413,22-10-085,ЦЕХ 20,5-616,2020.0,профилешлифовальный центр пятиосевой с чпу,MFP-050.65.65,2022-10-19,ош: захват манипулятора не разжат,заедание устр-ва смены инструмента,"замена датчика положения устройства смены инстр-та, переборка мех зажима план-шайбы в устр-ве",2022-10-20,2022-10-19,19.0,10.0,2022.0,9.0,1 days,Ш
21414,22-10-092,ЦЕХ 8,5-740,2002.0,токарно-фрезерный станок с чпу,TNC 65EGY,2022-10-19,установка преобразователя частоты,преобразователь частоты не с этого станка (для брандта),диагностика,2024-03-13,2022-10-19,19.0,10.0,2022.0,9.0,511 days,Т
21415,22-10-090,ЦЕХ 9,5-3935,2004.0,ультрозвук.дeфektockоп,УСМ-8 НН-01,2022-10-19,не срабатывает асд,неправильный монтаж,исправление ошибок монтажа,2022-10-19,2022-10-19,19.0,10.0,2022.0,9.0,0 days,Х
21416,22-10-088,ЦЕХ 27,4-884,2018.0,установка охлаждения жидкости,CPE-M-4CES9Y-H-B1C3D1L2U2V1Z1,2022-10-19,н/р,,,2023-02-10,2022-10-19,19.0,10.0,2022.0,9.0,114 days,Ж
21417,22-10-089,ЦЕХ 15,3/532,1985.0,эл.пeчь kamep.bakуm-элebatop.,YYFC4848,2022-10-19,проверка герметичности,проверка выполнена.,проверка выполнена.,2022-10-21,2022-10-19,19.0,10.0,2022.0,9.0,2 days,Г
21418,22-10-093,ЦЕХ 8,5/494,1990.0,электрохимический станок,7511016000,2022-10-19,демонтаж шпинделя,выход из строя шпинделя,демонтаж шпинделя,2022-11-11,2022-10-19,19.0,10.0,2022.0,9.0,23 days,Э
21419,22-10-098,ЦЕХ 41,2-267,2013.0,высокопрецизинный внутришлифовальный станок,CT960,2022-10-20,резкий сильный нагрев клапана,разрядился г/аккумулятор,зарядка г/аккумулятора,2024-07-19,2022-10-20,20.0,10.0,2022.0,7.0,638 days,Ш
21420,22-10-097,ЦЕХ 41,4/314,2001.0,п/автомат для червячhых фрез,В3-449Ф2,2022-10-20,настройка реверса шпинделя,вышел из строя индукционный датчик положения,замена датчика силами электриков ц 35,2022-10-25,2022-10-20,20.0,10.0,2022.0,7.0,5 days,И
21421,22-10-096,ЦЕХ 17,2/280,1986.0,пpecc гидpab.,HVC-2-16,2022-10-20,нет давления,сбой в работе гидравлики.,"ремонт, регулировка.",2022-10-25,2022-10-20,20.0,10.0,2022.0,7.0,5 days,Д
21422,22-10-094,ЦЕХ 22,1/2470,1998.0,токарно-винторезный станок с чпу,16А20Ф3С39,2022-10-20,не выходит в 0,слетели параметры,переустановка параметров,2022-10-20,2022-10-20,20.0,10.0,2022.0,7.0,0 days,Т
21423,22-10-103,ЦЕХ 23,5-239,2012.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2022-10-21,нет замера контрольного инструмента,загрязнение системы замера инструмента,чистка лазера,2022-10-21,2022-10-21,21.0,10.0,2022.0,6.0,0 days,А
21424,22-10-101,ЦЕХ 23,5-236,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2022-10-21,нет подачи сож,нет подачи сож,ремонт и рег-ка насоса подачи сож,2022-10-25,2022-10-21,21.0,10.0,2022.0,6.0,4 days,А
21425,22-10-105,ЦЕХ 20,6-257,2010.0,bakуm.эл.пeчь,2.OVP-4022/24.MHV,2022-10-21,проверка герметичности вак. системы,проверка выполнена.,проверка выполнена.,2022-10-25,2022-10-21,21.0,10.0,2022.0,6.0,4 days,Г
21426,22-10-104,ЦЕХ 20,3-658,2002.0,печь вакум. горизонтальная,RVFOQ-4.24 R,2022-10-21,проверка герметичности вак. системы,проверка выполнена.,проверка выполнена.,2022-10-24,2022-10-21,21.0,10.0,2022.0,6.0,3 days,Г
21427,22-10-102,ЦЕХ 25,5-257,2015.0,пятиосевой вертикально фрезерный обрабатывающий центр с чпу,MCU 700V-5X,2022-10-21,ошибка 5-ой оси,нарушение контакта реле включения тормоза оси с,устранения неисправности,2022-10-21,2022-10-21,21.0,10.0,2022.0,6.0,0 days,А
21428,22-10-100,ЦЕХ 20,5/466,1987.0,эл.эpoзиoh.копиров.прошив.ст-к с пу,4Е-723.01Ф1,2022-10-21,н/р шкаф управления,неисправность блока утп,замена блока утп,2022-10-21,2022-10-21,21.0,10.0,2022.0,6.0,0 days,Э
21429,22-10-107,ЦЕХ 16,7/281,1988.0,tokaphый п/abtom. с чпу,АТПр-800М,2022-10-22,нет жескости рубки детали.,люфт крестового суппорта,рег-ка клиньев,2022-11-15,2022-10-22,22.0,10.0,2022.0,7.0,24 days,Т
21430,22-10-106,ЦЕХ 5,4-629,2012.0,станок,ОШ-644-2,2022-10-22,при переключении скорости происходят гидроудары,нет реверса стола,ремонт г/панели,2022-11-15,2022-10-22,22.0,10.0,2022.0,7.0,24 days,Ш
21432,22-10-115,ЦЕХ 20,6-629,2013.0,агрегат ионно-плазменного напыления,АПН-250,2022-10-24,замена мех насоса,замена произведена.,замена произведена.,2022-10-25,2022-10-24,24.0,10.0,2022.0,7.0,1 days,У
21433,22-10-109,ЦЕХ 23,6/177,1991.0,п/автомат,7А773 ПН,2022-10-24,заклинило правый стол,люфт стола,люфт устранен,2022-10-26,2022-10-24,24.0,10.0,2022.0,7.0,2 days,Б
21434,22-10-116,Отдел полимерных композиционных материалов,2/209,1977.0,пpecc гидpabл. д/плactmacc,Д2430Б,2022-10-24,демонтаж пресса,перевозка пресса в другой корпус.,демонтаж гидростанции.,2023-01-17,2022-10-24,24.0,10.0,2022.0,7.0,85 days,Д
21435,22-10-112,ЦЕХ 41,4/574,1991.0,плоско-шлифовальhый,JF625E-1,2022-10-24,нет регулировки скорости вращения шпинделя,неисправно реле времени,ремонт реле,2022-10-25,2022-10-24,24.0,10.0,2022.0,7.0,1 days,Ш
21436,22-10-113,ЦЕХ 26,5-59,2001.0,токарно-револьверный ст-к с чпу,1ВЗ40Ф-30,2022-10-24,ремонт платы управления.  нет привязки по z(26.10.22),выход из строя платы управления,ремонт платы управления,2022-10-28,2022-10-24,24.0,10.0,2022.0,7.0,4 days,Р
21437,22-10-114,ЦЕХ 38,6/211,1989.0,установка вакуумная плавильная,УППФ-3М,2022-10-24,проверка герметичности,проверка произведена.,проверка произведена.,2022-10-25,2022-10-24,24.0,10.0,2022.0,7.0,1 days,Г
21438,22-10-108,ЦЕХ 39,5-773,2012.0,центр,SMINIMILL2,2022-10-24,ош 161 по оси х,ош по приводу оси х,замена привода,2022-10-25,2022-10-24,24.0,10.0,2022.0,7.0,1 days,Ф
21439,22-10-111,ЦЕХ 41,5-595,2003.0,шлифовальный ст-к с чпу,PRECIMAT 306,2022-10-24,дробление поперечной подачи,вышла из строя сильфонная муфта,отдано на изготовление в 35 ц,2022-11-15,2022-10-24,24.0,10.0,2022.0,7.0,22 days,Ш
21440,22-10-110,ЦЕХ 26,5/36,1989.0,tokapho-peboльb.c beptиk.ocью с чпу,1В340Ф 30М,2022-10-24,не вкл,износ станка,диагностика,2023-10-16,2022-10-24,24.0,10.0,2022.0,7.0,357 days,Р
21441,22-10-121,ЦЕХ 23,5/675,1993.0,вертикально-фрезерный станок с чпу,6М13НК,2022-10-25,нет смены инструмента,имеет дефект зажима-разжима инстр-т №2,замена хвостовика инстр-та №2,2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,Ф
21442,22-10-118,ЦЕХ 41,1-43,1978.0,молот пневматический,МА-4136,2022-10-25,диагностика,износ направляющих бабы.,механику цеха дана рекомендация.,2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,К
21443,22-10-119,ЦЕХ 15,2-346,2005.0,пресс горячий изостатичес с чпу,SO-12200,2022-10-25,н/р панель управления клапанов,повреждены элементы пневматики (трубки и тройники),замена поврежденных элементов,2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,Д
21444,22-10-120,ЦЕХ 26,5-763,2012.0,спец.токарно-винторезный ст-к,МТ-10-И,2022-10-25,призма не поворачивается,заедание г/распределителя,устранение заедания,2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,Т
21445,22-10-122,ЦЕХ 19,8-151,2012.0,станок зубошлифовальный с чпу,G 30,2022-10-25,неисправность  usv-модуля,"сбой узла u22, перегрев узла u17, сбой хол-ка шкафа","перезапуск хол-ка, продувка вент отверстий от пыли, общий перезапуск станка",2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,Ш
21446,22-10-117,ЦЕХ 41,4-354,2011.0,станок пятиосевой шлифовальный заточной,TX7+,2022-10-25,проверить с-му охл-ния сож,греется сож,дозаправка фреона,2022-10-25,2022-10-25,25.0,10.0,2022.0,5.0,0 days,И
21447,22-10-128,ЦЕХ 15,3/534,1985.0,bakуmh.пeчь,ВВФЦ24Х36,2022-10-26,проверка герметичности вак. системы,проверка выполнена.,проверка выполнена.,2022-11-02,2022-10-26,26.0,10.0,2022.0,5.0,7 days,Г
21448,22-10-126,ЦЕХ 17,8/97,1984.0,гильot.hoжhицы c пapaл.пpиboдom,"NTE3150/6,3",2022-10-26,н/р прижим,не работает прижим заготовки.,"ремонт, регулировка.",2022-10-27,2022-10-26,26.0,10.0,2022.0,5.0,1 days,В
21449,22-10-124,ЦЕХ 41,4/574,1991.0,плоско-шлифовальhый,JF625E-1,2022-10-26,нет регулировки скорости вращения шпинделя,сбой по контроллера,"замена батарейки, установка по",2022-10-28,2022-10-26,26.0,10.0,2022.0,5.0,2 days,Ш
21450,22-10-129,ЦЕХ 26,5-59,2001.0,токарно-револьверный ст-к с чпу,1ВЗ40Ф-30,2022-10-26,"замерить люфт по оси ""z""",замерить люфт по оси ''z'',"регулировка подшипников по осям ""х"" и ""z""",2022-11-22,2022-10-26,26.0,10.0,2022.0,5.0,27 days,Р
21451,22-10-127,ЦЕХ 26,5-59,2001.0,токарно-револьверный ст-к с чпу,1ВЗ40Ф-30,2022-10-26,нет привязки по z,задвоенность заявки №22-10-113,,2022-10-26,2022-10-26,26.0,10.0,2022.0,5.0,0 days,Р
21452,22-10-123,ЦЕХ 28,5/131,1981.0,фpeзepный cпeциальный bept. с чпу,MA 655A14,2022-10-26,возможен люфт швп. отключение при обраб. детали.,люфт стола,рег-ка клиньев,2022-11-15,2022-10-26,26.0,10.0,2022.0,5.0,20 days,А
21453,22-10-125,ЦЕХ 41,5-595,2003.0,шлифовальный ст-к с чпу,PRECIMAT 306,2022-10-26,монтаж сильфоновой муфты,вышла из строя муфта по оси z,замена муфты,2022-11-02,2022-10-26,26.0,10.0,2022.0,5.0,7 days,Ш
21454,22-10-132,ЦЕХ 20,6-257,2010.0,bakуm.эл.пeчь,2.OVP-4022/24.MHV,2022-10-27,ремонт вак. системы,замена вак мех. насоса,замена вак мех. насоса,2022-11-07,2022-10-27,27.0,10.0,2022.0,6.0,11 days,Г
21455,22-10-130,ЦЕХ 19,5/507,1985.0,tokaphый п/abtom. с чпу,1П756ДФ101,2022-10-27,неисправность нижней револьверной головы,единичный сбой,перезапуск,2022-10-28,2022-10-27,27.0,10.0,2022.0,6.0,1 days,Т
21456,22-10-133,ЦЕХ 3,3-89,2014.0,бойлерклав д/удаления модельной массы из внутренней полости,1220,2022-10-27,н/р клапан воска,не заканчивается цикл,ремонт датчиков к лапане воска,2022-11-08,2022-10-27,27.0,10.0,2022.0,6.0,12 days,Л
21457,22-10-135,ЦЕХ 9,5-198,2012.0,ленточно-пильный ст-к с чпу,НВМ-370А,2022-10-27,консультация для транспортировки,проведена консультация,подготовка к демонтажу и к перевозке,2022-11-15,2022-10-27,27.0,10.0,2022.0,6.0,19 days,В
21458,22-10-134,ЦЕХ 9,3-730,2015.0,печь электрическая конвейерная,ELCV-800,2022-10-27,н/р. были выявлены ошибки.,неправильное подключение термопар,переподключение термопар,2022-10-29,2022-10-27,27.0,10.0,2022.0,6.0,2 days,Г
21459,22-10-137,ЦЕХ 17,6/551,1998.0,сварочный аппарат,TIGARC-250AC/D,2022-10-27,нет сварки,"н/р плата управления, сгорел предохранитель",ремонт платы управления,2022-10-29,2022-10-27,27.0,10.0,2022.0,6.0,2 days,У
